Time [s],Position [m],Velocity [m/s],Force (acc) [N],Force (rgb) [N],Force (pnb) [N],Energy [kWh],CPU Time [s]
0,0,1,213900,0,0,440.1406149,6.994639
0.414156459,0.456589554,1.207547728,213900,0,0,440.1406149,6.994639
1.124305827,1.442288362,1.564333617,213900,0,0,440.1406149,6.994639
1.876366022,2.758303008,1.940941042,213900,0,0,440.1406149,6.994639
2.533194912,4.143845686,2.270862741,213900,0,0,440.1406149,6.994639
3.027204084,5.324508752,2.518073218,213900,0,0,440.1406149,6.994639
3.313112395,6.06677233,2.661743659,213900,0,0,440.1406149,6.994639
3.381784794,6.25,2.696028671,213900,0,0,440.1406149,6.994639
3.853436504,7.577128364,2.932393046,213900,0,0,440.1406149,6.994639
4.610359012,9.940832097,3.311774409,213900,0,0,440.1406149,6.994639
5.190644037,11.94632525,3.602395835,213900,0,0,440.1406149,6.994639
5.342654439,12.5,3.678577217,213900,0,0,440.1406149,6.994639
5.923130572,14.71906891,3.969214925,213900,0,0,440.1406149,6.994639
6.659935593,17.78093109,4.338285466,213900,0,0,440.1406149,6.994639
6.880674243,18.75,4.448697791,213900,0,0,440.1406149,6.994639
7.366273856,20.96906891,4.69171484,213900,0,0,440.1406149,6.994639
7.997524303,24.03093109,5.007622446,213900,0,0,440.1406149,6.994639
8.18926307,25,5.103514967,213900,0,0,440.1406149,6.994639
9.181425034,30.30851346,5.599605328,213900,0,0,440.1406149,6.994639
10.75836495,39.76332839,6.387955813,213900,0,0,440.1406149,6.994639
11.95841007,47.78530101,6.986977031,213900,0,0,440.1406149,6.994639
12.27165549,50,7.143441249,213900,0,0,440.1406149,6.994639
13.46491819,58.87627564,7.738575294,213900,0,0,440.1406149,6.994639
14.97342437,71.12372436,8.490882267,213900,0,0,440.1406149,6.994639
15.42438993,75,8.715316553,213900,0,0,440.1406149,6.994639
16.41494686,83.87627564,9.208413442,213900,0,0,440.1406149,6.994639
17.70010897,96.12372436,9.847799744,213900,0,0,440.1406149,6.994639
18.09001691,100,10.04156002,213900,0,0,440.1406149,6.994639
19.4369915,113.9759864,10.71064101,213900,0,0,440.1406149,6.994639
21.88142432,141.6409568,11.92297627,213900,0,0,440.1406149,6.994639
24.32987432,172.3156986,13.1344361,213900,0,0,440.1406149,6.994639
25.95319063,194.2895804,13.93611715,213900,0,0,440.1406149,6.994639
26.36007018,200,14.13680363,213900,0,0,440.1406149,6.994639
27.82477278,221.2340538,14.85482231,210657.3183,0,0,440.1406149,6.994639
30.27509785,259.0533136,15.99906736,195591.2155,0,0,440.1406149,6.994639
32.2285324,291.141204,16.84451218,185774.2746,0,0,440.1406149,6.994639
32.75105754,300,17.06459533,183378.3322,0,0,440.1406149,6.994639
34.78253025,335.5051026,17.88778269,174939.3475,0,0,440.1406149,6.994639
37.44417259,384.4948974,18.90555259,165521.585,0,0,440.1406149,6.994639
38.25814867,400,19.20457128,162944.3837,0,0,440.1406149,6.994639
40.07610295,435.5051026,19.853694,157616.8662,0,0,440.1406149,6.994639
42.49275225,484.4948974,20.68001578,151318.8899,0,0,440.1406149,6.994639
43.23815631,500,20.92715755,149531.8714,0,0,440.1406149,6.994639
45.55092428,549.2675429,21.67265241,144388.2812,0,0,440.1406149,6.994639
50.1531558,652.2678633,23.07022804,135641.3567,0,0,440.1406149,6.994639
55.55393724,781.0125949,24.5860591,127278.5125,0,0,440.1406149,6.994639
60.31243811,900.9932911,25.82798505,121158.3879,0,0,440.1406149,6.994639
63.33110724,980.0950715,26.57619644,117747.3623,0,0,440.1406149,6.994639
64.07752748,1000,26.75683207,116952.4487,0,0,440.1406149,6.994639
67.97815204,1106.170269,27.6744516,113074.5814,0,0,440.1406149,6.994639
