Total_Distance,Distance,Altitude,Easting,Northing,Longitude,Latitude,V_max
0,0,669.2,2745686.1,1254300.5,9.369554,47.423378,80
10,10,669.3,2745679.7,1254292.8,9.369466,47.423311,
20,20,669.3,2745673.4,1254285,9.36938,47.423242,
30.1,30.1,669.3,2745667.1,1254277.2,9.369294,47.423173,
40,40,669.2,2745660.8,1254269.5,9.369208,47.423105,
50,50,669.3,2745654.5,1254261.7,9.369122,47.423037,
60,60,669.2,2745648.2,1254254,9.369036,47.422969,
70,70,669.2,2745641.9,1254246.2,9.36895,47.4229,
80,80,669.2,2745635.6,1254238.5,9.368864,47.422832,
90.1,90.1,669.3,2745629.2,1254230.7,9.368777,47.422763,
100,100,669.2,2745622.9,1254223,9.368691,47.422696,
110,110,669.3,2745616.6,1254215.2,9.368605,47.422627,
120.1,120.1,669.3,2745610.3,1254207.4,9.368519,47.422558,
130,130,669.3,2745604,1254199.7,9.368433,47.42249,
140,140,669.3,2745597.7,1254191.9,9.368347,47.422421,
150,150,669.3,2745591.4,1254184.2,9.368261,47.422354,
160.1,160.1,669.3,2745585,1254176.4,9.368174,47.422285,
170,170,669.3,2745578.7,1254168.7,9.368088,47.422217,
180,180,669.3,2745572.4,1254160.9,9.368002,47.422148,
190,190,669.3,2745566.1,1254153.2,9.367916,47.422081,
200,200,669.3,2745559.8,1254145.4,9.36783,47.422012,
210,210,669.3,2745553.5,1254137.6,9.367744,47.421943,
220,220,669.3,2745547.2,1254129.9,9.367658,47.421875,
230,230,669.4,2745540.9,1254122.1,9.367572,47.421806,
240,240,669.4,2745534.5,1254114.4,9.367485,47.421739,
250.1,250.1,669.4,2745528.2,1254106.6,9.367399,47.42167,
260,260,669.5,2745521.9,1254098.9,9.367313,47.421602,
270,270,669.5,2745515.6,1254091.1,9.367227,47.421533,
280,280,669.6,2745509.3,1254083.4,9.367141,47.421465,
290,290,669.7,2745503,1254075.6,9.367055,47.421397,
300,300,669.5,2745496.7,1254067.8,9.366969,47.421328,
310.1,310.1,669.6,2745490.3,1254060.1,9.366881,47.42126,
320.1,320.1,669.6,2745484,1254052.3,9.366795,47.421191,
330,330,669.7,2745477.9,1254044.5,9.366712,47.421123,
340,340,669.7,2745472.1,1254036.3,9.366632,47.42105,
350,350,669.7,2745466.7,1254027.9,9.366558,47.420976,85
360,360,669.8,2745461.3,1254019.5,9.366484,47.420902,
370,370,669.8,2745455.9,1254011.1,9.36641,47.420827,
380,380,669.8,2745450.5,1254002.7,9.366335,47.420753,
390,390,669.8,2745445,1253994.3,9.36626,47.420679,
400,400,669.8,2745439.6,1253985.9,9.366185,47.420604,
410,410,669.9,2745434,1253977.6,9.366109,47.420531,
420,420,670,2745428.1,1253969.5,9.366028,47.420459,
430,430,670,2745422,1253961.6,9.365944,47.42039,
440,440,670.1,2745415.6,1253953.9,9.365857,47.420322,
450,450,670.2,2745409.3,1253946.1,9.365771,47.420253,
460.1,460.1,670.3,2745403,1253938.3,9.365685,47.420184,
470,470,670.4,2745396.7,1253930.6,9.365599,47.420116,
480,480,670.6,2745390.4,1253922.8,9.365513,47.420048,
490.1,490.1,670.7,2745384.1,1253915,9.365427,47.419979,
500,500,670.8,2745377.8,1253907.3,9.365341,47.419911,
510.1,510.1,671,2745371.5,1253899.5,9.365255,47.419842,
520,520,671.1,2745365.2,1253891.8,9.365169,47.419775,
530,530,671.3,2745358.9,1253884,9.365083,47.419706,
540.1,540.1,671.4,2745352.6,1253876.2,9.364997,47.419637,
550,550,671.5,2745346.3,1253868.5,9.364911,47.419569,
560,560,671.6,2745340,1253860.7,9.364825,47.4195,
570.1,570.1,671.9,2745333.7,1253852.9,9.364739,47.419432,
580,580,672,2745327.4,1253845.2,9.364653,47.419364,
590,590,672.1,2745321.1,1253837.4,9.364567,47.419295,
600.1,600.1,672.3,2745314.8,1253829.6,9.364481,47.419226,
610,610,672.4,2745308.5,1253821.9,9.364395,47.419159,
620,620,672.6,2745302.2,1253814.1,9.364309,47.41909,
630,630,672.7,2745295.9,1253806.4,9.364223,47.419022,
640,640,672.8,2745289.6,1253798.6,9.364137,47.418953,
650,650,673,2745283.3,1253790.8,9.364051,47.418885,
660,660,673.2,2745277,1253783.1,9.363965,47.418817,
670,670,673.2,2745270.7,1253775.3,9.363879,47.418748,
680,680,673.4,2745264.4,1253767.5,9.363793,47.418679,
690,690,673.6,2745258.1,1253759.8,9.363707,47.418611,
700,700,673.8,2745251.8,1253752,9.363621,47.418543,
710,710,673.9,2745245.5,1253744.3,9.363535,47.418475,
720,720,673.9,2745239.1,1253736.5,9.363448,47.418406,
730.1,730.1,674,2745232.8,1253728.7,9.363362,47.418337,
740,740,674.1,2745226.5,1253721,9.363276,47.418269,
750,750,674.2,2745220.1,1253713.3,9.363189,47.418202,
760,760,674.4,2745213.7,1253705.7,9.363102,47.418135,
770,770,674.6,2745207.2,1253698.1,9.363013,47.418068,
780,780,674.7,2745200.6,1253690.5,9.362923,47.418001,
790,790,674.9,2745193.9,1253683.1,9.362832,47.417936,
800,800,674.8,2745187.1,1253675.8,9.36274,47.417872,
810,810,674.9,2745180.2,1253668.6,9.362646,47.417809,
820,820,675.1,2745173.1,1253661.5,9.362549,47.417746,
830.1,830.1,675.4,2745165.9,1253654.5,9.362452,47.417685,
840,840,675.3,2745158.6,1253647.7,9.362353,47.417625,
850,850,675.5,2745151.1,1253641.1,9.362251,47.417568,
860,860,675.7,2745143.5,1253634.6,9.362149,47.417511,
870,870,675.9,2745135.8,1253628.2,9.362045,47.417455,
880.1,880.1,676,2745127.9,1253622,9.361938,47.417401,
890.1,890.1,676,2745120,1253615.9,9.361831,47.417348,
900,900,676.1,2745112,1253610,9.361723,47.417297,
910,910,676.3,2745103.9,1253604.1,9.361614,47.417245,
920,920,676.4,2745095.8,1253598.2,9.361505,47.417194,
930,930,676.4,2745087.7,1253592.4,9.361396,47.417144,
940,940,676.5,2745079.6,1253586.5,9.361286,47.417092,
